source,source_name,target,target_name,distance_km
64430,gadget's go coaster,60515,chip 'n dale treehouse,0.022748509234255893
64430,gadget's go coaster,27887,donald's boat,0.053105890567628856
64430,gadget's go coaster,99677,mickey's house and meet mickey,0.033121969545581095
64430,gadget's go coaster,1924,goofy's playhouse,0.04257546639537071
64430,gadget's go coaster,40788,minnie's house,0.0614844509078749
58559,rail road - tomorrow land,99303,star wars launch bay,0.04982732635475133
58559,rail road - tomorrow land,46507,autopia,0.02836682356123856
58559,rail road - tomorrow land,8115,monorail,0.04867404370752599
76868,indiana jones™ adventure,19797,fortune teller - new orleans,0.06426658668913124
76868,indiana jones™ adventure,72179,pirates of the caribbean,0.027678929116208974
76868,indiana jones™ adventure,11705,jungle cruise,0.04613391253691145
76868,indiana jones™ adventure,76976,rail road - new orleans,0.07165266085139162
76868,indiana jones™ adventure,54449,tarzan's tree house,0.015006039320240633
69026,haunted mansion,61323,splash mountain,0.05021377438156316
69026,haunted mansion,6984,haunted mansion holiday,0.05871789745814919
40918,main street cinema,82766,great moments with mr. lincoln,0.05861651651998811
40918,main street cinema,83634,pumpkin festival,2.62700230079045e-07
40918,main street cinema,50720,disney gallery,0.054541968826045506
40918,main street cinema,60282,fortune teller - main street,0.04391179056393583
40918,main street cinema,70282,main street vehicles,0.015472641300727697
60515,chip 'n dale treehouse,64430,gadget's go coaster,0.022748509234255893
60515,chip 'n dale treehouse,27887,donald's boat,0.0748232800594603
60515,chip 'n dale treehouse,99677,mickey's house and meet mickey,0.0405521189595234
60515,chip 'n dale treehouse,1924,goofy's playhouse,0.06367320625951975
60515,chip 'n dale treehouse,40788,minnie's house,0.07155125162540711
44978,astro orbitor,73133,star tours – the adventures continue,0.02677631171019211
44978,astro orbitor,68863,buzz lightyear astro blasters,0.04616584457054125
19797,fortune teller - new orleans,76868,indiana jones™ adventure,0.06426658668913124
19797,fortune teller - new orleans,72179,pirates of the caribbean,0.04047769976513013
19797,fortune teller - new orleans,76976,rail road - new orleans,0.016387197891147204
19797,fortune teller - new orleans,54449,tarzan's tree house,0.06736925761106684
27887,donald's boat,64430,gadget's go coaster,0.053105890567628856
27887,donald's boat,60515,chip 'n dale treehouse,0.0748232800594603
27887,donald's boat,39868,roger rabbit's car toon spin,0.06584260841490348
27887,donald's boat,99677,mickey's house and meet mickey,0.05109845231901851
27887,donald's boat,1924,goofy's playhouse,0.01181502687985456
27887,donald's boat,73844,rail road mickey town,0.03513006275373176
27887,donald's boat,40788,minnie's house,0.05102231468738735
39868,roger rabbit's car toon spin,27887,donald's boat,0.06584260841490348
39868,roger rabbit's car toon spin,46167,it's a small world,0.07229029191445366
39868,roger rabbit's car toon spin,1924,goofy's playhouse,0.07530708693129297
39868,roger rabbit's car toon spin,73844,rail road mickey town,0.05361649697176751
61114,walt disney's enchanted tiki room,11705,jungle cruise,0.07291061990436737
61114,walt disney's enchanted tiki room,5359,shooting exposition,0.05174383191634434
16200,dumbo the flying elephant,41985,mad tea party,0.06224146570803505
16200,dumbo the flying elephant,2521,casey's jr train,0.01995891682696985
16200,dumbo the flying elephant,10515,snow white's scary adventures,0.06915770957431493
16200,dumbo the flying elephant,69032,mr. toad's wild ride,0.04087311437184797
16200,dumbo the flying elephant,78442,alice in wonderland,0.07528089369148587
16200,dumbo the flying elephant,32605,pinocchio's daring journey,0.049049834013615796
16200,dumbo the flying elephant,92795,king arthur carrousel,0.035028351293420044
16200,dumbo the flying elephant,85718,storybook land canal boats,0.06301762857378919
16200,dumbo the flying elephant,74966,peter pan's flight,0.06627929250717678
41985,mad tea party,16200,dumbo the flying elephant,0.06224146570803505
41985,mad tea party,69032,mr. toad's wild ride,0.0420599556571513
41985,mad tea party,78442,alice in wonderland,0.02256858806370041
41985,mad tea party,96097,matterhorn bobsleds,0.06584429994379845
41985,mad tea party,92795,king arthur carrousel,0.05921382388832163
41985,mad tea party,85718,storybook land canal boats,0.01556438176125985
41985,mad tea party,74966,peter pan's flight,0.06564167978643076
72179,pirates of the caribbean,76868,indiana jones™ adventure,0.027678929116208974
72179,pirates of the caribbean,19797,fortune teller - new orleans,0.04047769976513013
72179,pirates of the caribbean,11705,jungle cruise,0.06722617916779043
72179,pirates of the caribbean,76976,rail road - new orleans,0.04484171426852776
72179,pirates of the caribbean,54449,tarzan's tree house,0.027042954642667046
11705,jungle cruise,76868,indiana jones™ adventure,0.04613391253691145
11705,jungle cruise,61114,walt disney's enchanted tiki room,0.07291061990436737
11705,jungle cruise,72179,pirates of the caribbean,0.06722617916779043
11705,jungle cruise,5359,shooting exposition,0.07319774823944164
11705,jungle cruise,54449,tarzan's tree house,0.040183406763831316
82766,great moments with mr. lincoln,40918,main street cinema,0.05861651651998811
82766,great moments with mr. lincoln,83634,pumpkin festival,0.0586164064439834
82766,great moments with mr. lincoln,50720,disney gallery,0.013783761069963407
82766,great moments with mr. lincoln,91073,rail road - entrance,0.0421066816291889
82766,great moments with mr. lincoln,70282,main street vehicles,0.045898865195113575
60568,thunder rail road,3125,mark twain riverboat,0.07690232705021377
70412,pirate's lair on tom sawyer island,3125,mark twain riverboat,0.06719234618688764
70412,pirate's lair on tom sawyer island,29293,sailing columbia,0.06437706881585971
70412,pirate's lair on tom sawyer island,6984,haunted mansion holiday,0.040536420012777116
2521,casey's jr train,16200,dumbo the flying elephant,0.01995891682696985
2521,casey's jr train,10515,snow white's scary adventures,0.06668379321664794
2521,casey's jr train,69032,mr. toad's wild ride,0.05337898517406569
2521,casey's jr train,32605,pinocchio's daring journey,0.04128728507621531
2521,casey's jr train,92795,king arthur carrousel,0.040951608790830145
2521,casey's jr train,74966,peter pan's flight,0.07225259554333358
99677,mickey's house and meet mickey,64430,gadget's go coaster,0.033121969545581095
99677,mickey's house and meet mickey,60515,chip 'n dale treehouse,0.0405521189595234
99677,mickey's house and meet mickey,27887,donald's boat,0.05109845231901851
99677,mickey's house and meet mickey,1924,goofy's playhouse,0.03968065078699248
99677,mickey's house and meet mickey,40788,minnie's house,0.031002379269046827
46167,it's a small world,39868,roger rabbit's car toon spin,0.07229029191445366
46167,it's a small world,30923,its a small world holiday,0.021675035867520134
46167,it's a small world,73844,rail road mickey town,0.07266552189434301
1924,goofy's playhouse,64430,gadget's go coaster,0.04257546639537071
1924,goofy's playhouse,60515,chip 'n dale treehouse,0.06367320625951975
1924,goofy's playhouse,27887,donald's boat,0.01181502687985456
1924,goofy's playhouse,39868,roger rabbit's car toon spin,0.07530708693129297
1924,goofy's playhouse,99677,mickey's house and meet mickey,0.03968065078699248
1924,goofy's playhouse,73844,rail road mickey town,0.046657535263430104
1924,goofy's playhouse,40788,minnie's house,0.044078806302886166
10515,snow white's scary adventures,16200,dumbo the flying elephant,0.06915770957431493
10515,snow white's scary adventures,2521,casey's jr train,0.06668379321664794
10515,snow white's scary adventures,69032,mr. toad's wild ride,0.048854910224250904
10515,snow white's scary adventures,32605,pinocchio's daring journey,0.02763941397612127
